pk;key;id;artist;title;category;genre;cdextra;year
5392;132;ab0bac0d;Pe. Marcelo Rossi;Músicas para louvar ao Senhor;misc;Gospel;YEAR: 1998 ID3G: 38;1998
5394;133;ab0bbe0d;Barenaked ladies;Maroon;misc;Other;YEAR: 2000 ID3G: 12;2000
5418;134;ab0cf00d;Barenaked Ladies;Maroon;misc;Rock;YEAR: 2000 ID3G: 17;2000
5426;135;ab0d340d;Alien Ant Farm;ANThology;misc;Crossover;YEAR: 2000;2000
5443;136;ab0e3b0c;Nando Reis;A Letra A;misc;Acoustic;;
5458;137;ab0fc80c;Richard Bona;Munia/The Tail;misc;Fusion;YEAR: 2003;2003
5477;138;ab10f90c;The Cure;Disintegration;misc;Darkwave;;1989
5542;139;ac0a690e;Voodoo Glow Skulls;The Band Geek Mafia;misc;;;
5549;140;ac0ab00c;Superstars;United;misc;;;2003
5574;141;ac0baa0c;Savage Garden;Savage Garden;misc;Pop;ID3G: 13;
5577;142;ac0bb00b;AC DC;Ballbreaker;misc;Hard Rock;;1995
5657;143;ac10750b;Robert Miles;Dreamland;misc;Dream;ID3G:  55;
5664;144;ac10ab0b;IRON MAIDEN;The X Factor;misc;Metal;YEAR: 1995;1995
5681;145;ac11730c;Robert Miles;Dreamland [BVCP-993];misc;Electronic;;1996
5731;146;ad0ac00c;Tom Waits;Closing Time;misc;;;
5746;147;ad0b9b0c;Nelly Furtado;Whoa, Nelly!;misc;Pop;Dreamworks Records;2001
5754;148;ad0bc10c;Shakespears Sister;Hormonally Yours;misc;;Copyright 1992 London Recordings;
5776;149;ad0c800c;Cousteau;Sirena;misc;Acoustic Pop;YEAR: 2002 ID3G: 20;2002
5780;150;ad0ca80e;Années 80 #1;chant;misc;Vocal;;2001
5782;151;ad0cae0e;Années 80;instrumental;misc;Vocal;;2001
5830;152;ad0f8b0d;Silicon Dream;Time Machine;misc;Other;ID3G:  12;
5835;153;ad0ffe0b;Fat Boy Slim;Halfway Between The Gutter And The Stars;misc;Misc;;2000
5867;154;ad12530d;Heitor Villa-Lobos;Alma Brasileira;misc;Classical;Heitor Villa-Lobos  (1887-1959)\nAlma Brasileira   -   Music of Villa-Lo;1996
5889;155;ae089c0d;Mormon Tabernacle Choir;It's Christmas;misc;;;
5912;156;ae099f0d;Citizen Fish;Free Souls in a Trapped Environment;misc;Ska;;1990
5921;157;ae0a070d;Yothu Yindi;Tribal Voice;misc;;;1992
5959;158;ae0bd71a;Console;Rocket in the Pocket;misc;Electronic;Console Band : Christian Schröcker - Michael Schwaiger - Axel Fis;1999
5988;159;ae0dae0c;Cappella;U Got 2 Know;misc;Dance;YEAR: 1994;1994
6102;160;af09900e;Husker Du;Flip Your Wig;misc;Hardcore;;1985
6116;161;af0a210c;Amy Grant;A Christmas To Remember;misc;Christmas;YEAR: 1999;1999
6162;162;af0c3a0c;Ub40;Homegrown;misc;Reggae;;2003
6174;163;af0ca00c;Shane Barnard;Psalms;misc;;;
6210;164;af0e970c;METALLICA;METALLICA;misc;;;
6246;165;af114b0d;Beautiful World;In Existence;misc;;YEAR: 1994;1994
6272;166;a0083c0c;The Beatles;Let It Be;rock;Rock;;1970
6314;167;a00a560c;Lenny Kravitz;Lenny;rock;Rock;YEAR: 2001 ID3G:  17;2001
6316;168;a00a6d0c;Clawfinger;Use Your Brain;rock;Crossover;YEAR: 1995 ID3G:  17;1995
6339;169;a00b670c;The Smithereens;A Date With The Smithereens;rock;;;
6354;170;a00c1c0b;Jethro Tull;Aqualung (24K Gold Disc);rock;pop;;1997
6358;171;a00c380b;Pantera;Vulgar Display of Power;rock;;;
6374;172;a00ce30c;Maxwell;NOW;rock;R&B;YEAR: 2001;2001
6377;173;a00d020b;Depeche Mode;The Singles 86>98 (Disc 2);rock;New Age;YEAR: 1998;1998
6382;174;a00d390e;Staind;Break The Cycle;rock;Rock;;2001
6398;175;a00e780e;Jay-Z;Vol.2...Hard Knock Life;rock;Rap;\n YEAR: 2000;1998
6413;176;a00f540c;DEEP PURPLE;The Book Of Taliesyn (Remaster);rock;Hard Rock;YEAR: 1968;1968
6423;177;a0102c0c;Rush;8-16-02 Houston, TX - The Woodlands - Disc 1;rock;;;
6506;178;a10ac00c;Eagle-Eye Cherry;Living In The Present Future;rock;Rock;YEAR: 2000  ID3G:  17;2000
6547;179;a10c660b;Magnum;Sleepwalking;rock;Rock;YEAR: 1992;1992
6562;180;a10cfb0c;Lifehouse;No Name Face;rock;Rock;;2000
6568;181;a10d510c,a60d510c;Blues Traveler;Four;rock;Rock;;1994
6620;182;a110c70c;Genesis;We can't dance;rock;Rock;\nYEAR: 2000  ID3G:  17;2000
6663;183;a2087c0b;The Strokes;Is This It?;rock;;;
6665;184;a2088b0b;The Strokes;Is This It?;rock;Rock;;2001
6690;185;a20a200d;Kate Bush;The Kick Inside;rock;Pop;YEAR: 1978;1978
6695;186;a20a5f0e;Voodoo Glow Skulls;Band Geek Mafia;rock;Punk;;1998
6716;187;a20b5d0b;Ruby;Salt Peter;rock;Rock;;1995
6719;188;a20b640c,a40b650c,b00b650c;Radiohead;The Bends;rock;Alternative;;1995
6722;189;a20b7a0b;Sheena Easton;What Comes Naturally;rock;;;
6737;190;a20c4a0c;Dido;No Angel;rock;;;
6740;191;a20c560c;Ivy;Long Distance;rock;Rock;;2000
6741;192;a20c660b;Magnum;Sleepwalking;rock;Rock;YEAR: 1992 ID3G: 17;1992
6756;193;a20cf80d;Finch;What it is to Burn;rock;Rock;YEAR: 2002;2002
6761;194;a20d120d;Alien Ant Farm;anthology;rock;Rock;;
6762;195;a20d130c;International DeeJay Gigolos CD Five;various Artists CD 1;rock;Electronic;\n\nYEAR: 2001  ID3G:  52;2001
6771;196;a20d710c;Phil Collins;Testify;rock;;;
6776;197;a20dac0d;Jay-Z;MTV Unplugged;rock;Hip-Hop;;2001
6788;198;a20e6b0c;Aerosmith;A Little South Of Sanity - Disc 1;rock;Hard Rock;YEAR: 1998 ID3G: 79;1998
6798;199;a20f5a0c;Depeche Mode;Exciter Tour Live In L.A 2001 Disc 1;rock;;;
6802;200;a20fad0d;Madonna;Ray Of Light;rock;Alt.Rock;\n\nYEAR: 1998  ID3G:  40;1998
6811;201;a210790c;Ozzy Osbourne;Speak Of The Devil;rock;Metal;;
6855;202;a308940c;Lotte & Søren;Træk Din Kat I Halen;rock;Other;;
6858;203;a308b70c;Linkin park;Hibrid Theory;rock;Hard Rock;The first Linkin Park's album\nLinkin Park - Hibrid Theory;
6919;204;a30b8f0e;Ill Niño;Revolution ...Revolucion;rock;;;2001
6922;205;a30ba90d;Anouk;Urban Solitude;rock;Rock;YEAR: 1999 ID3G: 17;1999
6925;206;a30bd40c;Def Leppard;High 'n' Dry;rock;;;
6926;207;a30bd50c;Def Leppard;High 'n' dry;rock;Metal;YEAR: 1981 ID3G:   9;1981
6944;208;a30c970c;Ben Harper;The will to live;rock;;;
6948;209;a30cb20d;David J;Songs From Another Season;rock;Alternative;;1990
6950;210;a30cb50d;Garbage;Beautifulgarbage;rock;Rock;YEAR: 2001;2001
6952;211;a30cd90e;eagle eye cherry;Living In The Present Future (Japan edit);rock;Rock;YEAR: 2000;2000
6955;212;a30ceb0c;Paul Oakenfold;Bunkka;rock;Techno;;2002
6969;213;a30db40c;Ismael Serrano;Los paraisos desiertos;rock;Pop;YEAR: 2000;2000
6992;214;a30edf0c;X Japan;Perfect Best (Disc 1);rock;;This is X Japan's Perfect Best CD set, disc 1.\nName: Michael Snowden;
7008;215;a30fc30c;Bon Jovi;Bounce;rock;Rock;;2002
7037;216;a311df0c;Dream Theater;Once In A Livetime - Disc 1;rock;Metal;;1998
7061;217;a408e80d;The Descendents;ALL;rock;;1987, SST Records, SST CD 112;
7064;218;a409020d;Combustible Edison;Schizophonic!;rock;Indie Pop;;1996
7072;219;a409810c;SpineShank;The Height Of Callousnes;rock;;;
7075;220;9309300d,9f09380d,a409360d,a409d60d,a509370d,a7092a0d,a809370d,aa09370d,ad09290d;Pink Floyd;The Wall (Disc 1);rock;Progressive Rock;uf YEAR: 1979 ID3G: 1;1979
7087;221;a40a600b;Rammstein;Sehnsucht;rock;Rock;YEAR: 1997;1997
7094;222;a40a8f0c;Blind Guardian;Somewhere Far Beyond *;rock;;;
7121;223;a40bb70b;Tom Waits;Small Change;rock;Rock;;1976
7123;224;a40bbc0d;Kylie Minogue;Fever;rock;;;
7134;225;a40c360b;Bush;Sixteen Stone;rock;Rock;;
7161;226;a40d180c;Natalie Imbruglia;Left Of The Middle;rock;Popular;(c)1997 BMG Entertainment International UK\nupc 743215444121\n YE;1997
7170;227;a40db80c,ac0db90c;Frank Zappa;Joe's Garage (Disc I);rock;Rock;YEAR: 1987;1979
7192;228;a40e8f0d;Judas Priest;Meltdown;rock;;Vol. 1;
7199;229;a40ebf0d;BoA;Next World;rock;JPop;YEAR: 2003;2003
7201;230;a40f020c;Metallica;Reload;rock;;RELEASE:\nLABEL:;
7211;231;a40fac0a;Dream Theater;House of Blues, Chicago '97;rock;;;
7223;232;a4110f0c;Pink Floyd;Out Of This World London 20-10-94 Disc 2;rock;Psychadelic;;1994
7237;233;a411e10c;Dream Theater;Once In A Livetime (Disc 1);rock;Progressive Rock;ID3G:  92;
7288;234;a509960c;Sex Pistols Tapes);We've Cum For Your Children (Wanted:  The Goodman Tapes);rock;Punk Rock;;1997
7291;235;a509c30c;Francesco De Gregori;Alice non lo sa;rock;Pop;;
7311;236;a50a990c;Clawfinger;Use Your Brain;rock;Grunge;;1995
7341;237;a50bc20c;Skunk Anansie;Post Orgasmic Chill;rock;Rock;YEAR: 1999 ID3G:  17;1999
7344;238;a50bfd0d;Add N To (X);Loud Like Nature;rock;Electronic;YEAR: 2002;2002
7346;239;a50c080d,a50c090d,a70c080d,c30c070d;Joe Cocker;Classics Volume 4;rock;Rock;;1987
7347;240;a50c100e;Divididos;La Era De La Boludez;rock;Rock;;1993
7350;241;a50c1f0c;Aerosmith;Permanent Vacation;rock;Rock;Columbia House M2G 24162\n\n1987 The David Geffen Company\n\n\n\n  STEVEN;1987
7361;242;a50c8b0d;Third Eye Blind;Blue;rock;;;
7363;243;a50ca30d;Graham Parker;The Parkerilla;rock;;;
7365;244;a50cb40d;David J;Songs from Another Season;rock;;;
7367;245;a50cbd0d;Hanson;Middle Of Nowhere;rock;Pop;YEAR: 1997 ID3G:  13;1997
7404;246;a50e2a0d;Matchbox Twenty;Mad Season;rock;;;2000
7405;247;a50e2c0d;Matchbox Twenty;Mad Season;rock;Rock;;2002
7428;248;a5104d0d;Rush (LIVE);Sin City Flames(Disc 1);rock;Rock;;2002
7429;249;a510680c;Ozzy Osbourne;Talk Of The Devil;rock;Rock;YEAR: 1991 ID3G: 17;1991
7460;250;a6084b0c;The Beatles;Let It Be;rock;Rock;;1970
7469;251;a608e80d;The Descendents;ALL;rock;Rock-Surf-Pop-Punk;1987, SST Records, SST CD 112;1987
7483;252;a609b70c;Sex Pistols;We've Cum For Your Children (Wanted:  The Goodman Tapes);rock;;;
7514;253;a60b330d;Foo Fighters;The Colour and the Shape;rock;;;
7515;254;a60b490d;Nirvana;Nevermind;rock;Grunge;;
7517;255;a60b620c;The Smithereens;A Date With The Smithereens;rock;Rock;YEAR: 1994;1994
7525;256;a60bb90c;Garbage;Version 2.0;rock;Alt. Rock;;
7540;257;a60c1a0c;Live;Mental Jewelry;rock;Rock;;1991
7542;258;a60c1f0c;Live;Mental Jewelry;rock;Rock;YEAR: 1991;1991
7549;259;a60c7a0c;'La oreja de Van Gogh';'El Viaje de Copperton';rock;Rock Español;;
7562;260;a60cbe0d;Savage Garden;Savage Garden;rock;R&B;;1997
7563;261;a60cc50b;Aerosmith;a little south of sanity;rock;;;
7581;262;a60dc50d;Marilyn Manson;Portrait of an american family;rock;Rock;;1993
7599;263;950f4a0b,a60f490b,b70f3a0b,b70f4b0b;Kraftwerk;The Mix;rock;Electronic;YEAR=1991\nLABEL=Elektra\nID=9 60869-2\nUPC=0 7559-60869-2 9;1991
7604;264;a60f8f0c;Dire Straits;Money For Nothing;rock;Rock;YEAR: 1988;1988
7605;265;a60fab0d;æ??é‡Œ;OPUS 21 DISK1;rock;Pop;YEAR: 1995;1995
7606;266;a60fba0d;Böhse Onkelz;Viva Los Tioz;rock;;;
7614;267;a610650b;Dream Theater;House of Blues, 11-1-97;rock;;;
7622;268;a610c90c;Genesis;We Can't Dance;rock;Rock;YEAR: 1991 ID3G: 17;1991
7633;269;a612020d;Ministry;Popwer Department;rock;;;
7644;270;a7082d0b;Jefferson Airplane;Surrealistic Pillow;rock;Psychedelic Rock;;1967
7653;271;a708cb0c;Linkin Park;Hybrid Theroy;rock;Rock;YEAR: 2000  ID3G:  17;2000
7664;272;9909510b,a7094e0b;R.E.M.;Reconstruction of the Fables;rock;Rock;YEAR: 1985 ID3G:  17;1985
7671;273;a7099f0e;Yello;Solid Pleasure;rock;Electronic;;1980
7707;274;a70b7a0b;Sheena Easton;What Comes Naturally;rock;Rock;YEAR=1991\nLABEL=MCA\nID=MCAD-10131\nUPC=0 20831-4139-2 3\nSPARS=AAD;1991
7708;275;a70b7d0c;Toni Braxton;The Heat;rock;;;
7719;276;a50c080d,a50c090d,a70c080d,c30c070d;Joe Cocker;Classics Volume 4;rock;Rock;;1987
7722;277;a70c2d0c;Dido;No Angel;rock;Electronic;YEAR: 1999;1999
7731;278;a70c850c;ben harper;the will to live(live 2 cd) - cd 1;rock;Acoustic;;
7750;279;a70d030d;Third Eye Blind;Blue;rock;;;
7769;280;a70deb0c;NIRVANA;NEVERMIND;rock;Alt.Rock;YEAR: 1991;1991
7778;281;a70e780d;Judas Priest;'98 Live Meltdown (CD 1/2);rock;Metal;YEAR: 1998 ID3G:   9;1998
7794;282;a70fc40d;Madonna;Ray of Light;rock;;;
7802;283;a710440d;X Japan;Perfect Best side 1;rock;J-Rock;;1999
7847;284;a8088d0b;Tracy Chapman;Tracy Chapman;rock;Rock;YEAR: 1988 ID3G:  17;1988
7852;285;a808e10c;Linkin Park;Hybrid Theory;rock;Rock;YEAR: 2000 ID3G: 17;2000
7859;286;7f098f0a,a809780a;Bruce Springsteen;Nebraska;rock;Folk/Rock;;1982
7869;287;a80a3d0d;Alien Ant Farm;ANThology;rock;Rock;;
7898;288;a80b5c0d;Ash;Free All Angels;rock;Rock;YEAR: 2001 ID3G:  17;2001
7918;289;a80c190d;The Exploited;Beat The Bastards;rock;;;
7920;290;a80c2a0e;Staind;Break The Cycle;rock;Rock;;2000
7923;291;a80c400c,af0c400c;Vanessa Williams;The Sweetest Days;rock;Soul;YEAR: 1994 ID3G: 42;1994
7934;292;a80cfb0c;2 Pac;Greatest Hits Disc 1;rock;Rap;\n\n\n YEAR: 1998 ID3G: 15;1998
7975;293;a80f530c;DEEP PURPLE;The Book Of Taliesyn;rock;Hard Rock;YEAR: 1969;1969
7977;294;a80f840c;t.A.T.u.;200 KMpH In The Wrong Lane;rock;Pop;;2002
7980;295;a80f900c;Dire Straits;Money for Nothing;rock;Rock;;1996
8029;296;a908e90c;Linkin Park;Hybrid Theory;rock;Rock;;
8043;297;9d09e60c,a909e80c,aa09e60c;Roger Waters;The Pros and Cons of Hitch Hiking;rock;Rock;YEAR: 1984 ID3G: 44;1984
8060;298;a90ab50d;Ill niño;Revolution... revolución;rock;Metal;;2001
8063;299;a90acb0d;estopa;destrangis;rock;Rock;LeSMiTo!!\nYEAR: 2001  ID3G:  17;2001
8097;300;a90c050c;Nelly Furtado;Whoa Nelly;rock;Rock;;
8114;301;a60c980c,a90c9d0c,ac0c990c;Queen;Innuendo;rock;Progressive Rock;YEAR: 1991 ID3G:  17;1991
8118;302;a90cb30d;Graham Parker;The Parkerilla;rock;Rock;YEAR: 1978 ID3G:  17;1978
8120;303;a90cbb0c;Roger Waters;hitchhiking to radio city CD2;rock;Rock;;1985
8131;304;a90d270d;Natalie Imbruglia;Left of the Middle;rock;Pop;;1997
8135;305;a90d6a0c;EROS RAMAZZOTTI;DOVE C'E MUSICA;rock;;;
8140;306;a90d930e;Smashing Pumpkins;Mellon Collie And The Infinite Sadness (CD1);rock;Alt.Rock;Dawn to Dusk\n YEAR: 1995;1995
8151;307;a90e010c;Nirvana;Nevermind;rock;Rock;ID3G:  17;
8224;308;aa093c0c;Krezip;Days Like This;rock;;;2002
