pk;artist;title
7731;ben harper;the will to live(live 2 cd) - cd 1
7750;Third Eye Blind;Blue
7769;NIRVANA;NEVERMIND
7778;Judas Priest;'98 Live Meltdown (CD 1/2)
7794;Madonna;Ray of Light
7802;X Japan;Perfect Best side 1
7847;Tracy Chapman;Tracy Chapman
7852;Linkin Park;Hybrid Theory
7859;Bruce Springsteen;Nebraska
7869;Alien Ant Farm;ANThology
7898;Ash;Free All Angels
7918;The Exploited;Beat The Bastards
7920;Staind;Break The Cycle
7923;Vanessa Williams;The Sweetest Days
7934;2 Pac;Greatest Hits Disc 1
7975;DEEP PURPLE;The Book Of Taliesyn
7977;t.A.T.u.;200 KMpH In The Wrong Lane
7980;Dire Straits;Money for Nothing
8029;Linkin Park;Hybrid Theory
8043;Roger Waters;The Pros and Cons of Hitch Hiking
8060;Ill niño;Revolution... revolución
8063;estopa;destrangis
8097;Nelly Furtado;Whoa Nelly
8114;Queen;Innuendo
8118;Graham Parker;The Parkerilla
8120;Roger Waters;hitchhiking to radio city CD2
8131;Natalie Imbruglia;Left of the Middle
8135;EROS RAMAZZOTTI;DOVE C'E MUSICA
8140;Smashing Pumpkins;Mellon Collie And The Infinite Sadness (CD1)
8151;Nirvana;Nevermind
8224;Krezip;Days Like This
8234;Roger Waters;The Pros and Cons of Hitch Hiking
8260;Queen;Live Killers     (CD1)
8265;Yazoo;Upstairs At Eric's
8274;Shakira;Laundry Service
8291;Add N To (X);Loud Like Nature
8297;Piratas;Ultrasónica
8301;Green Day;Warning
8306;Paul McCartney & Wings;Wings Greatest
8311;Crematory;Believe
8312;Crematory;Believe
8344;Def Leppard;Retro Active
8349;Genesis;We Can't Dance
8364;Sonata Arctica;Silence(jpn)
8368;The Cure;Disintegration
8370;Alvin Lee;Ninteenninetyfour
8410;Alkaline Trio;From Here To Infirmary
8422;ASH;Free all Angels
8423;Yothu Yindi;Tribal Voice
8424;Jethro Tull;Aqualung
8430;Molotov;¿Donde Jugarán Las Niñas?
8445;Queen;Live killers Disc 1
8453;Radiohead;The Bends
8464;Lenny Kravitz;Lenny
8473;Aerosmith;Permanent Vacation
8494;Stained;Break the Cycle
8507;Phil Collins;Testify
8526;Sonata Arctica;Silence
8536;Metallica;Reload
8537;FINCH;What It Is To Burn
8538;Böhse Onkelz;Viva Los Tioz
8559;The Rolling Stones;The Complete Woodstock Tapes [2]
8578;Beatles;Let It Be
8592;Rob Zombie;Hellbilly Deluxe
8609;Damon & Naomi;More Sad Hits
8630;Shakira;Laundry Service
8636;Avril Lavigne;Let Go
8640;Cranberries;No Need To Argue
8659;Queen;Innuendo
8663;Wings;Wings' Greatest
8664;Backstreet boys;Millennium
8668;Scorpions;Best Of Rockers 'N' Ballads
8683;BoA;Next World
8717;Iron Maiden;The X Factor
8718;Smashing Pumpkins;Live at the United Center - 11/29/00
8725;Marianne Faithfull;Blazing Away
8754;Krezip;Days Like This
8759;Yello;Solid Pleasure
8778;Therapy?;Troublegum
8779;Tom Waits;Closing Time
8794;Jimmy Eat World;Bleed American
8795;Q-Tip;Amplified
8805;Shakira;Laundry Service
8823;Live;Mental Jewelry
8831;Bon Jovi;Bounce
8843;Scorpions;Best Of Rockers 'N' Ballads
8859;Cappella;U Got 2 Know
8870;Life House;No Name Man
8888;Silicon Dream;Time Machine
8890;Madonna;Ray of Light
8891;Placebo;Without you I'm Nothing
8901;The five great guitars;Live
8908;Smashing Pumpkins;Live @ United Center, Chicago (29.11.2000) CD1
8917;Rolling Stones;Complete 1978 Woodstock Tapes #2
8919;Y & T;Yesterday & Today Live
8949;Citizen Fish;Free Souls in a Trapped Environment
8990;AC /DC;Ballbreaker
8995;Garbage;Version 2.0
9008;Cousteau;Sirena
9019;Chayanne;Simplemente
9038;Kylie Minogue;Fever
9060;Therapy?;Troublegum
9063;Madonna;Ray Of Light
9068;Depeche Mode;opening old wounds
9076;The Cure;Disintegration
9083;Y & T;Yesterday & Today Live
9114;Green Day;Warning
9115;Hüsker Dü;Flip Your Wig
9130;Damon and Naomi;More Sad Hits
9149;Yazoo;Upstairs At Eric's
9161;Anouk;Urban Solitude
9172;The Exploited;Beat The Bastards
9189;Blind Guardian;Sowhere Far Beyond
9193;Ivy;Long distance
9209;Faithless;Outrospective
9229;Def Leppard;Retroactive
9257;Santana;Supernatura
9278;Fatboy Slim;Halfway Between The Gutter And The Stars
9327;Alison Krauss;I've Got That Old Feeling
9333;Mary-Chapin Carpenter;Come On Come On
9348;LoneStar;I'm Already There
9412;Alison Krauss and Union Station;I've Got That Old Feeling
9421;Mindy McCready;If I Don't Stay The Night
9450;Mary-Chapin Carpenter;Come On, Come On
9485;Lonestar;I'm Already There
9486;Padre Marcelo Rossi;musicas pra louvasr o senhor
9489;Mindy McCready;If I Don't Stay The Night
9542;Leon Redbone/Up a Lazy River;Leon Redbone/Up a Lazy River
9557;Blues Traveler;Four
9588;Dave Hollister;Real Talk
9601;Grieg;Forever Classics
9614;Tom Waits;The Early Years
9637;Ì¤ÃÎ;Ì¤ÃÎ
9640;George Winston;December
9662;Radiohead;OK Computer
9669;Gipsy Kings;Compas
9678;Tom Waits;The Early Years
9694;Pantera;Vulgar Display Of Power
9695;Bush;Sixteen Stone
9713;A.J. Croce;That's Me In The Bar
9738;A.J. Croce;That's Me In The Bar
9762;ANRI;OPUS21 DISC1
9777;Maxwell;Now
9790;Dire Straits;Money for nothing
9793;Pink Floyd;Pulse (2)
9798;Bruce Springsteen;Nebraska
9807;All-4-One;Christmas
9811;Dave Hollister;Real Talk
9838;Various Artists - Notting Hill;Notting Hill
9863;Lenine;Na Pressao
9868;Ben Harper;The will to live
9876;Alvin Lee;I Hear You Rockin'
9969;Manuel Barrueco;Nylon & Steel
10000;Backstreet Boys;Millennium
10061;Die Krupps;Volle Kraft Voraus
10064;Peter White;Promenade
10085;Deep Dish;Yoshiesque Two (Eastcoast)
10102;smashing pumpkins;Mellon collie & the infinite sadness
10107;Skunk Anansie;Post Orgasmic Chill
10119;R.E.M.;Fables of the reconstruction
10133;deutschland sucht den superstar;UNITED
10230;Linkin Park;Hybrid theory
10231;42 x Bulat Okudzawa;Plyta 3 - Bulat
10240;Hanson;Middle Of Nowhere
10253;Enya;Shepherd Moons
10293;Kraftwerk;The MIX
10301;Beautiful World;In Existence
10312;ALL-4-ONE;An All-4-One Chrismas
10314;The Cranberries;No Need To Argue
10320;Marilyn Manson;Portrait Of An American Family [MVCP-14]
10361;Alien Ant Farm;Anthology
10368;Enya;Shepherd Moons
10383;Linkin Park;Hybrid Theory
10414;Dickinson, Bruce;The Best of Bruce Dickinson
10449;UB40;Homegrown
10578;Haydn;"String Quartets \The Lark\"" Op. 64 - Tatrai Quartet - cd 1"""
10628;Haydn;"String Quartets - \Apponyi\"" Op. 71 - Tatrai Quartet - cd 1"""
10652;George Winston;December
10714;Bach, Johann Sebastian (played by Michel Chapuis)uvre D´Orgue (Tome 3);L´Oeuvre D´Orgue (Tome 3)
10715;Michel Chapuis;Bach, J.S., Organ Works (Disk 3)
10785;Andrea Bocelli;Bocelli
10833;Andrea Bocelli;Sugar
10938;Florence Foster Jenkins;The Glory (????) of the Human Voice
10983;mussorgsky;bilder einer ausstellung
10986;Rammstein;Sehnsucht
11006;Hollywood Film Classics;Hollywood Film Classics
11008;Hollywood Film Classics;Disk #1
11088;Mozart;Mozart: Greatest Hits
11125;Florence Foster Jenkins;The Glory (????) of the Human Voice
11150;The Five Great Guitars;Live
11166;Villa-Lobos, Heitor;Alma Brasileira
11174;Mussorgsky;Bilder einer Ausstellung
11190;Varius artists;Mozart greatest hits
11388;Notting Hill;Music From Motion Picture
11423;John Barry;King Kong Original Soundtrack
11455;KBS;KBS TV¸¸È­¿µÈ­ ³ë·¡¸ðÀ½
11530;Disneyland;The Haunted Mansion: 30th Anniversary
11531;Metallica;Black Album
11538;John Barry;King Kong
100001;Various;Frankfurt Trance Vol. 04 cd1
100002;NO RETURN;Self Mutilation
100004;Emanuel;Felicidade
100005;åŠ‡å›£å››å­£;CATSã€€ã‚ªãƒªã‚¸ãƒŠãƒ«ï½¥ã‚­ãƒ£ã‚¹ãƒˆ
100006;luv lite massive;one love
100007;Various Artists;nop pop 2
100008;DMBQ;DMBQ
100009;4 P.M.;Sweet Soul
100010;Various;Frankfurt Trance Vol. 05 cd1
100011;¾î¸°ÀÌ Worship;Child Praise vol.1
100012;Rumania Montevideo;MO' BETTER TRACKS
100014;Modern Talking;Univers
100015;Keedy;Chase The Clouds
100016;????;SUBWAY EXPRESS
100017;Various;MicMac House Dance Party
100019;Bill Evans;Alone
100020;Nature Destroyed;Shades
100021;PEARL JAM;Yield
100022;Dingdong Avanzado;The Best of Dingdong Avanzado
100024;175R;Songs
100025;Variousce Italiennes (Disc 1);"La \Dolce Vita\"" Les Tubes Dance Italiens / Les Chansons Dance Italiennes (Disc 1)"""
100026;Day After Tomorrow;Elements
100027;V.A;Ãàº¹ (CD 09)
100028;Jazz Signatures;Jazz Signatures
100029;Bernadète Bidàude;Pomme d'amour
100030;å±±å?£ç™¾æ?µ;Disc13 èŠ±ã?–ã?‹ã‚Š
100031;Spartak;Golem
100032;<V8.5e;<V8.5e
100034;å?‚æœ¬çœŸç¶¾;Lucy
100035;Gazebo;The Best Of Gazebo
100036;DJ Irish;Assorted Trance Vol. 8
100037;Sportfreunde Stiller;die gute Seite
100038;Rennie Pilgrim presents;Nu Skool Breakz 2
100039;Various;"SalsaEnLaCalleOcho'96;SonyTSID7008"
100040;Barbara Streisand;A Love Like Ours
100041;Italo House;12 in mixes
100042;DEUX;FOREVER
100043;V.A.;BEATING SURVIVER -Another-
100044;Various;Custom Music CD
100045;Matsuka Phonics;Let's Study Phonics 2
100046;Kool Savas;Euer bester Freund Mix CD
100047;Robotika;Dance
100048;The Breeders;Pod
100049;Johnny Hallyday;Vol 4
100050;Phallus;Reason
100052;Rolling Stones;Giant Stadium 17.08.1994 CD 2
100054;äîëåðä ùì äâøåá;äãâ ðçù
100055;Nakama1;CD5 Chapters 8&9
100056;Various Artists;Essential Selection Winter 97 (CD1)
100058;Green Day;Dookie
100060;Various;"WindhamHillSampler'92;WH11109-2"
100062;In Vanity We Trust;Posh
100063;Various Artists;An Audio CD of African-American Oral Traditions
100064;Savage;Tonight
100065;Atmo Brtschitsch;Change Your Life
100066;Del Amitri;Twisted
100067;¿©Çà_½ºÄÉÄ¡;8th
100068;Diversetion);Zeitgeist: The Psychedelic Shack (Future Funk and Beatsploitation)
100069;Nikos Hatzopoulos;THE AEGEAN VIOLIN
100070;Perseguidos;III
100072;Various Artistsry CD2;Ministry Of Sound - Sessions Eight - Todd Terry CD2
100073;LES VAMPS;2 EME SHOW
100074;ñáîðíèê;ABSOLUTÍÛÉ ÕÈÒ 2
100075;Buster B. Jones;Ballads & Barn Burners
100076;V rios;Folia de S o Jo o
100077;Franz Lambert;Franz Lambert spielt beliebte Evergreens
100078;Leon Siu and David 'Kawika' Kahiapo;Slack Key Praise
100080;Freikorps;Kai Freikorps - Nordmann
100081;Detlef Jöcker;Und weiter geht's im Sauseschritt
100082;Barry McGuire;Eve Of Destruction
100084;HANA A PETR ULRYCHOVI;NIKOLA SUHAJ LOUPEZNIK
100085;Primus;Juletoner
100086;The Pandanus Club;Ho'ike
100087;Tschou zäme!;wäge dir
100088;Clive Gregson;Comfort And Joy
100089;Various Artists;Dorival Caymmi
100090;Gauchesco;Mano Lima
100091;Marco Pereira;Elegia
100092;Paveier;Beinah (Gefühlsecht und Lebensfroh)
100093;Johnny Light;Verhaal zonder woorden
100094;Keri Noble;Fearless
100095;Peder Persson;Födselfest
100096;EPO;POPTRACKS
100097;North Cregg;Summer at my feet
100098;Eleni Moraites;Rival
100099;Fabienne Thibeault;Les plus belles chansons - CD 2/2
100100;Sofi Marinova;Osadena liubov
100101;Various;Ich hab' Schlager lieb
100102;Justin McRoberts;Reason For Living
100103;Varios;Time well spent '93
100104;Mary Black;Without The Fanfare
100105;ARZU;Ceylanim
100106;Dunaways;Beautiful Day
100107;Indigo Girls;Shaming Of The sun
100108;Indigo Girls;Strange Fire
100109;The Choir Company;Laat Uw Grootheid Zien
100110;Ciúnas;Celtic Tiger
100111;Isle Of Light;Winters Welcome
100112;Holly Near;Simply Love - Disc One
100113;The String Cheese Incident;Untying The Not
100114;Gerardo Peña;Nada
100115;LJ Booth;The Ox That Pulls The Cart
100116;Stefan Sundström;Babyland
100117;Lovett, Lyle;The Road to Ensenada
100118;kisho, real selectah;Pssst remix
100119;Rebecca St.James;Pray
100121;Iris;After School Special
100122;Lançando as Redes;Grito da Noiva
100123;Eugene Cole and Persuaded;He Will Work It Out
100124;Various Artists;Zlote Przeboje Polskiego Socjalizmu
100125;Roger Fortner;Quiet Time Hymns On The Guitar
100126;Tom Paxton;Balloon-alloon-alloon
100127;Franco Bleve & Canto Antico Della Nostra Terra;Canzoni brindisine
100128;Various Artistse 2;Holiday Favorites, Christmas Collection Volume 2
100129;FNAC CHOICE;SALUTE FLAMENCO
100130;Leo Kottke;6- and 12-String Guitar
100131;Tokio Uchida;coconuts clash
100132;Derecho de Madrid;De Madrid a Mexico pasando por Cuba
100133;All The Best From Russia;All The Best From Russia
100134;Songs 4 Worship;Holy Ground! - Disc 2
100135;Various Artists;Populäre Musik aus Griechenland
100136;Joan Baez;5
100137;Marianne Kesler;All the Days of My Life
100138;Mustafa Sandal;Araba
100139;José Reza;Mais que Saudades
100140;Liliana Herrero & Juan Falu;Leguizamon-Castilla por...
100141;Môra-Per;Minnesmärken
100142;Garth Wilwand;Eyes of the Hurricane
100143;Clannad;Anam
100144;Doe Maar;4Us
100145;Guzman;Guzmán y Cía
100146;David Olney;Top To Bottom
100147;Flipper Dave;Flipper Dave
100148;Esma Redzepova;Esma Queen Of The Gypsies: Macedonian Songs (Disk 1)
100149;al bano;i grandi successi di al bano
100150;Jim Butke;A Feisin Statement
100151;Trio Bravo;pieces
100152;Léa Mendonça;Uma Nova Unção
100153;Various Artists;ä¸­å³¶ã?¿ã‚†ã?? SONG LIBRARY 1
100154;James Durst;Like the Wind
100155;Konstantina;I kaliteres stigmes mou
100156;Pete Seeger & Leon Gieco;Concierto en Vivo 1
100157;Ivy Markaity;World's Not Big Enough
100158;Cucunandy;Contented Minds
100159;The Céilí Bandits;Hangin' at The Crossroads
100160;Nylons;4 on the Floor
100161;Paddy Reilly;Paddy Reilly Live
100162;Daily Planet;The Big Scoop
100163;Kazuhiko Kato;Bokuno Sobani oideyo
100164;Various;Hollyday Musik 2
100165;Dario Domingues;Los Vibrantes
100166;vari;El campeon latino
100167;Vanja Lazarova Dimitrova;Love
100168;Sal Solo Band;Through Ancient Eyes
100169;Hezekiah Walker;The Best of Hezekiah Walker
100170;Alexander Scourby;King James Bible
100171;Bapi Das Baul;Senses
100172;Sylloges;Sou3e club (1990) 192 Kbps
100173;THE TEAR GARDEN;Bouquet of Black Orchids++by Mioudso99++
100174;Rewasese Entertainment;Mana Island
100175;Harmonikarice Zupan;Glasba zdruzila nas je
100176;Gunstein Draugedalen;Om hundrede år er alting glemt
100177;MERLE HAGGARD;Merle Haggard Country Legend- disc. 3
100178;Clannad;Atlantic Realm
100179;Stas Bulanda's Average Polka Band;Stormin' Polkas
100180;Albin Berger;Wahre Liebe
100181;Various Artists;Tzlil Mechuvan
100182;Some like it hot;Some like it hot
100183;Erich Kunz;Erich Kunz singt Wiener Lieder
100184;°Ï·ç±j;¤S¨£¤ë©ú
100185;P. Watelet - E. Germinet;Le top des chansons paillardes
100186;Sam Baardman;Kicking the Stone Home
100187;Àëåêñàíäð Íîâèêîâ;Ñ êðàñàâèöåé â îáíèìêó
100188;Bilja Krstic & Bistrik Orchestra;Zapisi
100189;Billy Bragg and the Blokes;England, and Half-English
100190;Catie Curtis;Acoustic Valentine
100191;Gem Boy;Il Triangolo nei Bermuda
100192;Adema;Adema
100193;Tomaz Pengov;Biti tu
100194;The Christina Abbott Band;Climbing Cathedrals
100195;Danko;Fjeld / Andersen
100196;EKO;celtica
100197;Gutierrez Brothers;Jesus Fill My Heart
100198;Stacie Orrico;Stacie Orrico
100200;Arjan & Efi;Over De Grenzen
100201;Various Artists;14 Hollandse nieuwe gouwe CD12
100202;Kohala;Cool Breeze
100203;Alison Krauss & Union Station;So Long So Wrong
100204;Erin Berghouse;Deception
100205;Evabritt Strandberg;Evabritt Strandberg Sjunger Brel
100206;Battlefield Band;Farewell To Nove Scotia
100207;Poems For Laila;Frühstück in Budapest
100208;Andesmanta;Causai Pacha
100209;Raza India;Raza India
100210;Serge Camille;Beau Vallon
100211;Liz Barnes;Inkmarks On Pages
100212;Various;Grapevine: A Collection
100213;Men of Worth;Harvest Moon
100214;Betty Elders;Crayons
100215;Wild Magnolias;New Orleans Project
100216;¿¹¼öÀüµµ´Ü;Çâ±â
100217;Amakye Dede;Me Fre Wo
100218;Various Artists;Euro Darkness 1 ã€œThe Early Days OF Sebã€œ
100219;Simon And Garfunkel;Wednesday Morning 3 AM
100220;Ho, Don;Essentials, the
100222;Die Zillertaler;I muaß dir no sag'n das i  di gern hab
100223;Joyas del Mariachi;Clasicas de Serenata
100224;EDITH PIAF;N. 3
100225;Paquita La Del Barrio;Azul celeste
100226;MUNTER MACHER;WENN ES NOCH ENGEL GIBT AUF ERDEN
100227;Helen Shapiro;Walking Back To Happiness
100228;Dana Robinson;Midnight Salvage
100229;Piotr Szczepanik;NAJWIEKSZE PRZEBOJE
100230;Erin McKeown;Grand
100231;Carlos di Sarli;Cascabelito
