pk;id;artist;title;category;genre;cdextra;year;track01;track02;track03;track04;track05;track06;track07;track08;track09;track10;track11;track12;track13;track14
2530;ad0bec0c;¼Ò¸®¿¤;Shema;folk;Gospel;ID3G: 38;;01-³ª¸¦ ÇâÇÑ ÁÖÀÇ »ç¶û;02-ÇÏ´Ã À§¿¡ ÁÖ´Ô ¹Û¿¡;03-³ªÀÇ ¸ð½À ³ªÀÇ ¼ÒÀ¯;04-¸ñ¸¶¸¥ ÀÚµé¾Æ;05-¸¶À½ÀÌ »óÇÑ ÀÚ¸¦;06-¸ðµç ´É·Â°ú ¸ðµç ±Ç¼¼;07-½¦¸¶;08-ÀºÇý·Î¸¸;09-º¸¸®¶ó;10-ÁÖÀÇ ÀÚºñ°¡ ³»·Á¿Í;11-º¸ÁÂ¾Õ¿¡;12-¸¶À½ÀÌ »óÇÑ ÀÚ¸¦ (Cello);;
2571;ae0cfd0d;Chayanne;Simplemente;folk;Latin;;1999;Boom Boom;Las Horas Pasan;Candela;Yo Te Amo;Hasta Que el Alma Resista;Ay Mama;Guando un Amor Se Va;Oye Mar (Cancao Do Mar);Mariana Mambo;Quien Puso Mas;Mi Cafetal;Te Necesito (Aprender a Amar);Simplemente;
2577;ae0e160c;Jacky Tar;Defenestration;folk;Celtic;YEAR: 2002 ID3G: 88;2002;Rovin' Journeyman;Billy the Whizz;Hoora Hoora;Barry;Keepin' it Filthy;Where's the Haggis?;Waves of Rush;Poor Man's Labour (Remix);What Comes Next;Uisce Beatha;Arooh Arooh;Billy's Reprise + Bonus Track;;
2581;ae0e490c;Jacky Tar;Defenestration;folk;Folk;;;Rovin' Journeyman;Billy The Whizz;Uisce Beatha;Barry;Keepin' It Filthy;Where's The Haggis?;Waves Of Rush;Poor Mans Labour (Remix);What Comes Next;Hoora Hoora;Arooh Arooh;Billy's Reprise;;
2619;af0ca00c;Shane Barnard;Psalms;folk;Folk-Rock;;2001;Unto You;Waiting Room;Psalm 13;Psalm 143 (Receive Me);Psalm 145;Psalm 110 (This is the Day);Name's Sake;Hosea;Praise the Name of Jesus;We've Come to Declare;May the Words of My Mouth;You Said;;
2707;a10eea0d;Bruce Dickinson;The Best Of Bruce Dickinson (DISC 1);jazz;Metal;YEAR: 2001;2001;Broken;Tattooed Millionaire;Laughing In The Hiding Bush (LIVE);Tears Of The Dragon;The Tower;Born In '58;Accident Of Birth;Silver Wings;Darkside Of Aquarius;Chemical Wedding;Back From The Edge;Road To Hell;Book Of Thel (LIVE);
2771;a30c690b;Rechard Bona;Munia;jazz;Jazz;;2003;Bonatology (Incantation);Kalabancoro;Sona Mama;Painting a wish;Engingilaye;Dina Lam (Incantation);Balemba Na Bwemba;Muto Bye Bye;Bona Petit;Couscous;Playground;;;
2781;a30da00d;Gipsy Kings;Compas;jazz;Latin;YEAR: 1997;1997;Ami Wa Wa (Solo Por Ti);Que Si Que No (Funiculi Funicula);Una Rumba Por Aqui;Receuerdo Apasionado;Mira La Itana Mora;La Fiesta Comenza;Canto A Brazil;Salsa De Noche;Mi Nino;Di Me;Obsesion De Amor;Lo Mal Y Lo Bien;Amor Gitano;
2807;a409020d;Combustible Edison;Schizophonic;jazz;Jazz;;1996;Alright, Already;Bluebeard;The Checkered Flag;One Eyed Monkey;Solid State;Les Yeux Sans Visage;"\52\""""";Short Double Latte;Mudhead;Morticia;Objet D'Amour;The Corner Table;Lonelyville;
2813;a40b200d;Corduroy;Out of Here;jazz;;;;Don't Wait for Monday;Practise What You Preach;Red Mercury;End of the Rainbow;Out of Here;The Diceman;Magic Carpet;January Woman;Mini;Along the Rooftops;Ayrton Senna;Motorhead;Goodbye;
2819;a40c3b0b;Peter White;Promenade;jazz;Jazz;;1993;Promenade;Undercover;Piece of the City;Peeto Bandito;What's Going On;By Candlelight;Boulevard;Reason To Live;Deep In My Heart;The Storm;November;;;
2823;a40d2f0e;The Jazzmasters;The Jazzmasters4;jazz;;;;valley of the harps;feeling blue;visions of illusion;lifetime;puerto banus;time 4 living;signs of life(still searching);emerald stardust;voice of the angels;quiet groove;valley of the harps reprise;how long;if you knew;in the rhythm
2890;a609550f;Nat King Cole;Vaya Con Dios;jazz;jazz;;;Ansiedad;Perfidia;Maria Elena;Solamente una vez;Te quiero dijiste;Adio Mariquita Linda;Quizas quizas quizas;Aquellos ojos verdes;No me platiques;Nadie me ama;Acercate mas;Tres palabras;Noche de ronda;Suas maos
2891;a609560f;Nat King Cole;En Espanol (Disk 1);jazz;;;;Ansiedad;Perfidia;Maria Elena;Solamente una vez;Te quiero dijiste;Adio Mariquita Linda;Quizas quizas quizas;Aquellos ojos verdes;No me platiques;Nadie me ama;Acercate mas;Tres palabras;Noche de ronda;Suas maos
2950;a70d7f0c;Eros Ramazzotti;Donde Hay Musica;jazz;Ballad;;1996;Donde Hay Musica;Estrella Gemela;La Cosa Mas Bella;La Aurora;Carta Al Futuro;Yo Amare';Este Inmenso Show;Casi Amor;Yo Sin Ti;Pero Ella;Huracan Meri;Buena Vida;;
2957;a70ef00c;Kenny G;The Moment;jazz;Jazz;;;The Moment;Passages;Havana;Always;That Somebody Was You (feat Toni Braxton);The Champion's Theme;Eastside Jam;Moonlight;Gettin' On The Step;Everytime I Close My Eyes (feat Babyface);Northern Lights;Innocnece;;
3086;ab07fc0e;The Drifters;Under The Boardwalk;jazz;Other;ID3G: 12;;Under The Boardwalk;I Count The Tears;Up On The Roof;Please Stay;On Broadway;When My Little Girl Is Smiling;(If You Cry) True Love, True Love;There Goes My Baby;This Magic Moment;Some Kind Of Wonderful;Dance With Me;Save The Last Dance For Me;Sweets For My Sweet;Saturday Night At The Movies
3096;ab0c630c;The Philosopher Kings;The Philosopher Kings;jazz;;;;Turn My Head Around;Lay My Body Down;All Dressed Up For San Francisco;Can't Get My Mind Around You;All To Myself;Leave That Man;Do You Swear;Everyone'll Let You Down;Just Like A Woman;Charms;Fingernails To Claws;No Woman Around;;
3106;ab0edd0c;Kenny G;The Moment;jazz;Jazz;YEAR: 1996 ID3G: 8;1996;The Moment;Passages;Havana;Always;That Somebody Was You;The Champion's Theme;Eastside Jam;Moonlight;Gettin' On The Step;Everytime I Close My Eyes;Northern Lights;Innocence;;
3123;ac0c630c;Philosopher Kings;the Philosopher Kings;jazz;;;;Turn My Head Around;Lay My Body Down;All Dressed Up for San Francisco;Can't Get My Mind Around You;All to Myself;Leave That Man;Do You Swear;Everyone'll Let You Down;Just Like a Woman;Charms;Fingernails to Claws;No Woman Around;;
3125;ac0d240c;Bjork;Vespertine;jazz;;;;Hidden Place;Cocoon;It's Not Up To You;Undo;Pagan Poetry;Frosti;Aurora;An Echo, A Stain;Sun In My Mouth;Heirloom;Harm Of Will;Unison;;
3134;ac0ead0c;Metallica;Metallica;jazz;Heavy Metal;;1991;Enter Sandman;Sad But True;Holier Than Thou;The Unforgiven;Wherever I May Roam;Don't Tread On Me;Through the Never;Nothing Else Matters;Of Wolf and Man;The God That Failed;My Friend of Misery;The Struggle Within;;
3155;ad0b1e0d;Corduroy;Out Of Here;jazz;Acid Jazz;ID3G:   8;1995;Don't Wait For Monday;Practise What You Preach;Red Mercury;End Of The Rainbow;Out Of Here;The Diceman;Magic Carpet;January Woman;Mini;Along The Rooftops;Ayrton Senna;Motorhead;Goodbye;
3159;ad0c080d;Manuel Barrueco;Nylon & Steel;jazz;Jazz;;2001;Manuel Barrueco / Odeon;Manuel Barrueco,Al Di Meola / Beyond the Mirage;Manuel Barrueco,Al Di Meola / Azzurra;Manuel Barrueco,Al Di Meola / The Grand Passion;Manuel Barrueco,Steve Morse / Wolvesville (an improvisation on Etude No;. 1 by Villa-Lobos);Manuel Barrueco,Steve Morse / Cavatina;Manuel Barrueco,Steve Morse / Without Sunglasses (Sense Ulleres de Sol);Manuel Barrueco,Steve Morse / Northern Lights;Manuel Barrueco,Steve Morse / Up in the Air;Manuel Barrueco,Andy Summers / Mysteries of the Slow River (Misterios d;o Rio Lento);Manuel Barrueco,Andy Summers / I Remember Andy Summers;Manuel Barrueco,Andy Summers / Crow at Midnight
3185;ae09d90d;Glenn Miller;The Original Glenn Miller Reunion 1954;jazz;;;;Moonlight Serenade;Anvil Chorus;Song of The Volga Boatmen;Tuxedo Junction;American Patrol;In The Mood;Perfidia;Serenade/Chatanooga Choo ChI've Got A Girl In Kalamazoo/Moonlight Cocktails/Elmer's Tune/Moonlight;That Old Black Magic;A String of Pearls;Pennsylvania 6-5000;Too Little Time;Little Brown Jug;
3192;ae0c400c;Vanessa Williams;The Sweetest Days;jazz;Pop;;1995;Intro-lude;The Way That You Love;Betcha Never;The Sweetest Day;Higher Ground;You Don't Have To Say You're Sorry;Ellamental;Sister Moon;You Can't Run;Moonlight Over Paris;Constantly;Long Way Home;;
3215;af07ef0e;Greatest Hits?The Drifters;Under The Boardwalk;jazz;Oldies;;;Under The Boardwalk;I Count The Tears;Up On The Roof;Please Stay;On Broadway;When My Little Girl Is Smiling;True Love, True Love;There Goes My Baby;This Magic Moment;Some Kind Of Wonderful;Dance With Me;Save The Last Dance For ME;Sweets for My Sweet;Saturday Night at the Movies
3222;af0a7d0d;LISA ONO;DREAM;jazz;;;;ON THE SUNNY SIDE OF THE STREET;MOONLIGHT SERENADE;UNDESIDED;TEAR FOR TWO;NIGHT AND DAY;AS TIME GOES BY;STOMPIN' AT TH E SAVOY;THE BOY NEXT DOOR;IN THE MOOD;DREAM;ANGEL'S EYES;SENTIMENTAL JOURNEY;CHATTANOOGA CHOO-CHOO;
3296;a00a430c;James Taylor;Greatest Hits;misc;Easy Listening;;1976;Something in the way she moves;Carolina in my mind;Fire and Rain;Sweet baby james;Country Road;You've got a friend;Don't let me be lonely tonight;Walking man;How sweet it is;Mexico;Shower the people;Steamroller;;
3356;a00c200b;Paul Oakenfold;Bunkka;misc;Dance;;2002;Ready Steady Go;Southern Sun;Time of Your Life;Hypnotised;Zoo York;Nixon's Spirit;Hold Your Hand;Starry Eyed Surprise;Get Em Up;Motion;Harder They Come;;;
3383;a00db40c;Ismael Serrano;Los paraísos desiertos;misc;Canción de autor;;2000;Km. 0;La mujer más vieja del mundo;No estarás sola;La cita;Tantas cosas;Una historia de Alvite;La huida;Has de saber;La casa encantada;La ciudad parece un mundo;Lo que hay que aguantar;Ya ves;;
3395;a00efd0b;The Crystal Method - Tweekend;The Crystal Method - Tweekend;misc;;;;Phd;Wild, Sweet, Cool;Roll It Up;Murder;Name Of The Game;The Winner;Ready For Action;Ten Miles Back;Over The Line;Blow Out;Tough Guy;;;
3475;a108810c;Rob Zombie;Hellbilly deluxe;misc;;;;Call of the Zombie;Superbeast;Dracula;Living dead girl;Perversion 99;Demonoid Phenomenon;Spookshow baby;How to make a monster;Meet the creeper;The Ballad of Resurrection Joe;What lurks on Channel x;Return of the phantom Stranger;;
3517;a10b280c;Die Krupps;Volle Kraft Voraus;misc;;;;Volle Kraft voraus;Goldfinger;Fur einen Augenblick;Tod und Teufel;Das Ende der Traume;Neue Helden;Wahre Arbeit - Wahrer Lohn;... denn du lebst nur einmal;Zwei Herzen, ein Rhythmus;Larm macht Spass;Wahre Arbeit - Wahrer Lohn (2);True Work - True Pay;;
3529;a10b920d;Los Caños;Agua De Luna;misc;Pop;;2002;Agua De Luna;A Lo Mejor Me Querías;Sin Decirnos Nada;Si Tú Bailas Para Mi;Sentir Como Yo Siento;Nena, Dime Por Qué;Qué Puedo Hacer;Huellas En Mi Corazón;A Mi Lado Mi Vida;Adriana;Lo Que Es Echarte De Menos;Ella Es (Interpretada Por Los Caños y susanna);Cartitas De Amor;
3539;a10c230d;Aqua;Aquarius;misc;Other;YEAR: 2000;2000;Cartoon Heroes;Around the World;Freaky Friday;We Belong to the Sea;An Apple a Day;Halloween;Good Guys;Back from Mars;Aquarius;Cuba Libre;Bumble Bees;Goodbye to the Circus;Daten zum Titel;
3670;a209c80c;Nirvana;Nevermind;misc;Grunge;;;Smells like teen spirit;In bloom;Come as you are;Breed;Lithium;Polly;Territorial pissings;Drain you;Lounge act;Stay away;On a plain;Something in the way;;
3678;a20a200d,a50a200d;Kate Bush;The Kick Inside;misc;Rhythmic Soul;YEAR: 1978;1978;Moving;The Saxophone Song;Strange Phenomena;Kite;The Man With The Child In His Eyes;Wuthering Heights;James And The Cold Gun;Feel It;Oh To Be In Love;L'Amour Looks Something Like You;Them Heavy People;Room For The Life;The Kick Inside;
3710;a20b090c;Ãéþñãïò Ôóáëßêçò;Áí Þìïõíá ðáëéüðáéäï;misc;;;;Ìáæß óïõ êáé óôçí êüëáóç;Áññùóôáßíù;Áí Þìïõíá ðáëéüðáéäï;Ôï êïìÝíï ìïõ ôóéãÜñï;Ìå ÷áëÜåé;ÓõíäåôÞñåò;Óöáßñá;Íá ôçò ðåéò óõãíþìç;Äåí ìå êáôÜëáâåò;ÖïâÜìáé;Ôï ìáýñï ìðïõöÜí;ÑáãéóìÝíï ãõáëß;;
3722;a20b660c;Radiohead;The Bends;misc;Other;ID3G:  12;1995;Planet Telex;The Bends;High And Dry;Fake Plastic Trees;Bones;(Nice Dream);Just;My Iron Lung;Bullet Proof..I Wish I Was;Black Star;Sulk;Steet Spirit (Fade Out);;
3757;a20d160b;Depeche Mode;The singles 86-98 CD 2;misc;Electronic;YEAR: 1998;1998;I feel you;Walking in my shoes;Condemnation;In your room;Barrel of a gun;It's no good;Home;Useless;Only when I lose myself;Little 15;Everything counts (Live);;;
3792;a20f7f0c;Placebo;Without You I'm Nothing;misc;;;;Pure Morning;Brick Shithouse;You Don't Care About Us;Ask For Answers;Without You I'm Nothing;Allergic (To Thoughts Of Mother Earth);The Crawl;Every You Every Me;My Sweet Prince;Summer's Gone;Scared Of Girls;Burger Queen;;
3793;a20f8d0c;faithless;outrospective remixes;misc;Dance;;2003;one step too far remix;we come 1 remix;lotus remix;crazy english summer remix;giving myself away remix;evergreen remix;not enuff love remix;daimoku remix;lion tamer remix;we come 1 remix 2;god is a beckham remix;crazy english summer remix 2;;
3851;a308940c;LOTTE OG SØREN;Træk din kat i halen;misc;;;;Træk din kat i halen;Karneval;Mario og Rosita;Det´ min fødselsdag;Fy, fy, skamme, skamme;Vi ska´ på koloni;Vi må passe bedre på vor jord;Jeg er cowboy;Bobler i mit hoved;Kaptajn Den sorte klo;Når vi si´r farvel;Træk din kat i halen ( Syng selv version );;
3931;a30bba0c;Shakespears Sister;Hormonally Yours;misc;;;;Goodbye Cruel World;I Don't Care;My 16th Apology;Are We In Love Yet;Emotional Thing;Stay;Black Sky;The Trouble With Andre;Moonchild;Catwoman;Let Me Entertain You;Hello (Turn Your Radio On);;
3976;a30dac0d;Jay-Z: MTV Unplugged;Jay-Z: MTV Unplugged;misc;;;;Izzo (H.O.V.A);Takeover;Girls, Girls, Girls;Jigga What, Jigga Who;Big Pimpin';Heart Of The City (Ain't No Love);Can I Get A ...;Hard Knock Life (The Ghetto Anthem);Ain't No;Can't Knock The Hustle/Family Affair;Song Cry;I Just Wanna Love U (Give It 2 Me);Jigga That N****;
3990;a30e9b0b;Grieg;Millenium Classics 5;misc;Classical;;;Piano Concerto - Allegro Molto Moderato;Piano Concerto - Adagio;Piano Concerto - Allegro Moderato E Marcato;Peer Gynt Suite 1 - Morning;Peer Gynt Suite 1 - Asas' Death;Peer Gynt Suite 1 - Anitra's Dance;Peer Gynt Suite 1 - In The Hall Of The Mountain King;Peer Gynt Suite 2 - Ingrid Lament;Peer Gynt Suite 2 - Arabian Dance;Peer Gynt Suite 2 - Peer Gynt's Homecoming;Peer Gynt Suite 2 - Solvejg's Song;;;
4108;a40b670c;t.A.T.U.;200 Kmh In The Wrong Lane;misc;Other;YEAR: 2002 ID3G:  12;2002;Not Gonna Get Us;All The Things She Said;Show Me Love;30 Minutes;How Soon Is Now?;Clowns (Can You See Me Now?);Malchik Gay;Stars;Ya Sholsa S Uma;Nas Ne Dagoniat;Show Me Love (extended);30 Minutes Remix;;
4114;a40b920d;Los Caños;Agua De Luna;misc;Pop;;2002;Agua De Luna;A Lo Mejor Me Querias;Sin Decirnos Nada;Si Tu Bailas Para Mi;Sentir Como Yo Siento;Nena, Dime Por Que;Que Puedo Hacer;Huellas En Mi Corazon;A Mi Lado De Vida;Adriana;Lo Que Es Echarte De Menos;Ella Es (con Susanna);Cartitas De Amor;
4124;a40c350c;Dido;No Angel - 192;misc;Pop général;;;Here With Me;Hunter;Don't Think Of Me;My Lover's Gone;All You Want;Thank You;Honestly OK;Slide;Isobel;I'm No Angel;My Life;Take My Hand;;
4140;a40cf50c;Bjork - Vespertine;Bjork - Vespertine;misc;;;;Aurora;Blueprint;New;Crave;Harm of Will;Hidden Place;Our Hands;Mouth;Sun In;Undo;Unison;Crave (Odd Duck Mix feat Matmos);;
4145;a40d380d;Lou - X;La Realtà, la Lealtà e lo Scontro;misc;Rap;Hip-Hop;1998;Intro;il mattino ha l'oro in bocca;vittime e complotti;a spasso per l'impero;oro e acciaio;sulla costa;danneggiatori;e la sagra continua;stati d'ansia;i numeri di cabal;dal profondo;attmi di gioia tra il dolore;via da qua;
4178;a40ebf0d;BoA;Next World;misc;JPop;YEAR: 2003;2003;PALM DRIVE feat. BoA & FIRSKLAS / HOLIDAY;BoA / å¥‡è¹Ÿ (SOUL'd OUT Remix);westlife featuring BoA / Flying Without Wings;BRATZ feat. BoA & Howie D.(Backstreet Boys) / Show Me What You Got (DJ WATARAI REMIX);BoA / JEWEL SONG (AKIRA's CANTO DIAMANTE VERSION);BoA / Shine We Are! (GROOVE THAT SOUL REMIX);"BoA / Flower (D.I's \Luv hurts\""REMIX)""";BoA / Winding Road feat.DABO;Mondo Grosso / Everything Needs Love feat.BoA(Piano-pella);BoA / VALENTI (English Version);BoA / Every Heart (English Version);BoA / Listen To My Heart (English Version);BoA / Amazing Kiss (English Version);
4179;a40ecc0d;Justin Timberlake;Justified;misc;Pop;;2002;Seniorita;Like i love you;(oh no) What you got;Take it from here;Cry me a river;Rock your body;Nothin else;Last night;Still on my brain;(And she said) Take me now;Right for me;Lets take a ride;Never again;
4184;a40f510e;garbage;beautifulgarbage;misc;;;;shout your mouth;androgyny;can't cry these tears;til the day I die;cup of coffee;silence is golden;cherry lips (go baby go!);breaking up the girl;drive you home;parade;nobody loves you;untouchable;so like a rose;data
4190;a40fb30d;Aqua;Aquarius;misc;Rock;www.aqua.dk;2000;Cartoon Heroes;Around The World;Freaky Friday;We Belong To The Sea;An Apple A Day;Haloween;Good Guys;Back From Mars;Aquarius;Cuba Libre;Bumble Bees;Goodbye To The Circus;;
4266;a20a200d,a50a200d;Kate Bush;The Kick Inside;misc;Rhythmic Soul;YEAR: 1978;1978;Moving;The Saxophone Song;Strange Phenomena;Kite;The Man With The Child In His Eyes;Wuthering Heights;James And The Cold Gun;Feel It;Oh To Be In Love;L'Amour Looks Something Like You;Them Heavy People;Room For The Life;The Kick Inside;
