cluster;id;author;volume;title;institution;venue;address;publisher;year;pages;editor;note;month;class
4;16264;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-261,;;;;ehrenfeucht1989
4;16265;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and control,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16271;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-261,;;;;ehrenfeucht1989
4;16272;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16275;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-261,;;;;ehrenfeucht1989
4;16276;a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;september,ehrenfeucht1989;ehrenfeucht1989
4;16245;a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant,;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;(1989).;247-251.,;;;ehrenfeucht1989;ehrenfeucht1989
4;16242;a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16255;a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16258;a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.;;a general lower bound on the number of examples needed for learning. information and computation,;;;82(3):247251,;;1989.;;;;;ehrenfeucht1989
4;16268;a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16277;a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
4;16278;a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.;;a general lower bound on the number of examples needed for learning. information and computation,;;;82(3):247251,;;1989.;;;;;ehrenfeucht1989
4;16240;a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.;;a general lower bound on the number of examples needed for learning.;;33 proceedings of the 1988 workshop on computational learning theory,;;morgan kaufmann publishers,;1988;pp. 139-154.;;;;ehrenfeucht1988
4;16261;a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989;pp. 247-261.;;;;ehrenfeucht1989
4;16273;a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989;pp. 247-261.;;;;ehrenfeucht1989
163;16256;andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.;82;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-261,;;;;ehrenfeucht1989
163;16257;andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;september,ehrenfeucht1989;ehrenfeucht1989
163;16260;andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.;82(3),;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;;ehrenfeucht1989
163;16263;andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.;82;a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-261,;;;;ehrenfeucht1989
163;16267;andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;september,ehrenfeucht1989;ehrenfeucht1989
163;16269;andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;september,ehrenfeucht1989;ehrenfeucht1989
163;16274;andrzej ehrenfeucht, david haussler, michael kearns, and leslie valiant.;82(3);a general lower bound on the number of examples needed for learning.;;information and computation,;;;1989.;247-251,;;;september,ehrenfeucht1989;ehrenfeucht1989
23;16115;avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.;;weakly learning dnf and characterizing statistical query learning using fourier analysis.;;in proceedings of the 26 th annual acm symposium on the theory of computing,;;;1994.;;;;may;blum1994
23;16116;avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.;;weakly learning dnf and characterizing statistical query learning using fourier analysis.;;in proceedings of the twenty-sixth annual acm symposium on the theory of computing,;;;1994.;;;to appear.;;blum1994
23;16113;avrim blum, merrick furst, jeffrey jackson, michael kearns, yishay mansour, and steven rudich.;;weakly learning dnf and characterizing statistical query learning using fourier analysis.;;in t he 26 th annual acm symposium on t heory of computing,;;;1994.;pages 253 - 262,;;;;blum1994
26;16106;avrim blum, merrick furst, michael kearns, and richard j. lipton.;;cryptographic primitives based on hard learning problems.;;in pre-proceedings of crypto 93,;;;1993.;pages 24.1-24.10,;;;;blum1993
26;16107;avrim blum, merrick furst, michael kearns, and richard j. lipton.;;cryptographic primitives based on hard learning problems.;;proc. crypto 93,;;springer,;1994.;pages 278-291.;in douglas r. stinson, editor,;lecture notes in computer science no. 773.;;blum1993
34;16111;blum a., furst m., jackson j., kearns m., mansour y., and rudich s.;;weakly learning dnf 10 and characterizing statistical query learning using fourier analysis.;;in proc. 26th annu. acm sympos. theory comput.;new york, ny,;acm press,;1994.;;;;;blum1994
34;16109;blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.;;weakly learning dnf and characterizing statistical query learning using fourier analysis.;;proceedings of the 26th annual acm symposium on theory of computing,;;;(1994).;pp. 253-262.;;;;blum1994
34;16110;blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.;;weakly learning dnf and characterizing statistical query learning using fourier analysis.;;in proceedings of the twenty-sixth annual acm symposium on theory of computing,;montreal, canada.;acm press.;(1994).;(pp. 253-262),;;;;blum1994
34;16118;blum, a., m. furst, j. jackson, m. kearns, y. mansour and s. rudich,;;weakly learning dnf and characterizing statistical query learning using fourier analysis,;;proceedings of the 26th annual acm symposium on theory of computing,;;;1994.;pp. 253-62,;;;;blum1994
41;16167;cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e. & warmuth, m. k.;;how to use expert advice,;univ. of calif. computer research lab, santa cruz, ca.;technical report ucsc-crl-94-33,;;;(1994),;;;an extended abstract appeared in stoc 93.;;cesa
41;16178;cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., & warmuth, m. k.;44(3);how to use expert advice.;;journal of the acm,;;;(1997).;427-485.;;;;cesa
41;16168;cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., and warmuth, m. k.;;how to use expert advice,;university of california,;computer research laboratory. an extended abstract appeared in proceedings, 25th annual acm symposium on the theory of computing,;new york.;acm press,;(1994),;pp. 382-381,;;;;cesa
48;16158;cesa-bianchi, n., freund, y., helmbold,;;on-line prediction and conversion strategies. in proceedings of the first euro-colt workshop.;;the institute of mathematics and its applications,;;m.k.,(1994).;;;to appear.;;cesa;cesa
46;16159;cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.;eurocolt 93,;on-line prediction and conversion strategies.;;in computational learning theory:;;oxford. oxford university press.;(1994).;pages 205-216,;;;;cesa
46;16160;cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.;eurocolt 93,;on-line prediction and conversion strategies.;;in computational learning theory:;;oxford university press.;(1994).;pages 205-216.;;;;cesa
41;16124;cesa-bianchi, n., freund, y., helmbold, d. p., haussler, d., schapire, r. e., & warmuth, m. k.;;how to use expert advice.;;proceedings of the annual acm symposium on the theory of computing (pp.;;;(1993).;382-391).;;;;cesa
41;16125;cesa-bianchi, n., freund, y., helmbold, d., & haussler, d.;;how to use expert advice.;;in proceedings of the twenty-fifth annual acm symposium on the theory of computing,;;;(1993).;(pp. 382-391).;;morgan kaufmann. to appear in journal of the association for computing machinery, schapire and warmuth also on this article but too long.;;cesa
41;16126;cesa-bianchi, n., freund, y., helmbold, d., haussler, d., schapire, r., and warmuth, m.;;how to use expert advice.;;in proceedings of the annual acm symp. on the theory of computing,;;;(1993).;pages 382-391.;;;;cesa
46;16161;cesa-bianchi, n., y. freund, d. p. helmbold, and m. warmuth.;;on-line prediction and conversion strategies.;;in computational learning theory: eurocolt 93, volume new series number 53 of the institute of mathematics and its applications conference series,;;oxford. oxford university press.;1994.;pages 205-216,;;;;cesa
41;16127;cesa-bianchi, n., y. freund, d. p. helmbold, d. haus-sler, and r. e. schapire a nd m. k. warmuth.;;how to use expert advice.;;;pages 382-391.;;1995.;;;;;cesa
92;17164;d. d. lewis, r. e. schapire, j. p. callan, and r. papka.;;training algorithms for linear classifiers.;;in proc. of the 19th annual international acm-sigir conference on research and development in information retrieval,;;hartung-gorre verlag,;1996.;pages 298-306.;;;;lewis1996
92;17171;d. d. lewis, r. e. schapire, j. p. callan, and r. papka.;;training algorithms for linear text classifiers.;association for computing machinery.;in proceedings of the nineteenth annual international acm sigir conference on research and development in information retrieval,;zurich,;;1996.;pages 298-306,;;;;lewis1996
138;16685;d. haussler, m kearns, and r. shapire.;14(1);bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning journal,;;;1994.;83-113,;;;;haussler1994a
138;16630;d. haussler, m kearns, and r. shapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in colt-91: proceedings of the 4th annual workshop on computational learning theory,;san mateo, ca, 1991.;morgan kauffmann.;;pages 61-74,;;;;haussler1994a
138;16634;d. haussler, m kearns, and r. shapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in colt-91: proceedings of the 4th annual workshop on computational learning theory,;san mateo, ca, 1991.;morgan kauffmann.;;pages 61-74,;;;;haussler1994a
138;16636;d. haussler, m kearns, and r. shapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in colt-91: proceedings of the 4th annual workshop on computational learning theory,;san mateo, ca, 1991.;morgan kauffmann.;;pages 61-74,;;;;haussler1994a
138;16649;d. haussler, m. kearns and r.;;schapire (1991). `bounds on the sample complexity of bayesian learning using information theory and the vc dimension;;;preprint.,;;;;;;;haussler1991p
138;16650;d. haussler, m. kearns and r.;;schapire (1991). bounds on the sample complexity of bayesian learning using information theory and the v-c dimension,;;preprint.,;;;;;;;haussler1991p;haussler1991p
138;16646;d. haussler, m. kearns, and r. e. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in proc. 4th annu. workshop on comput. learning theory,;san mateo, ca, 1991.;morgan kaufmann.;;pages 61-74,;;;;haussler1994a
138;16678;d. haussler, m. kearns, and r. e. schapire.;14(1);bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning,;;;1994.;83-113,;;;;haussler1994a
138;16681;d. haussler, m. kearns, and r. e. schapire.;14(1);bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning,;;;1994.;83-113,;;;;haussler1994a
138;16682;d. haussler, m. kearns, and r. e. schapire.;14(1);bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning,;;;1994.;83-113,;;;;haussler1994a
138;16629;d. haussler, m. kearns, and r. e. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in proceedings of the 4th workshop on computational learning theory,;san mateo, ca,;morgan kaufmann,;1991.;pages 61-74.;;;;haussler1994a
138;16631;d. haussler, m. kearns, and r. e. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in proceedings of the 4th workshop on computational learning theory,;san mateo, ca,;morgan kaufmann,;1991.;pages 61-74.;;;;haussler1994a
138;16633;d. haussler, m. kearns, and r. e. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in proc. 4th annu. workshop on comput. learning theory,;san mateo, ca, 1991.;morgan kaufmann.;;pages 61-74,;;;;haussler1994a
138;16635;d. haussler, m. kearns, and r. schapire,;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension,;;proc. 4th workshop on computational learning theory,;;;1991.;pages 61-74,;;;;haussler1994a
138;16640;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning theory using information theory and the vc dimension.;;in proceedings of the 4th annual workshop on computational learning theory,;san mateo, ca, 1991.;morgan kaufmann.;;pages 61-74,;;;;haussler1994a
138;16641;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in proceedings of the 1991 workshop on computational learning theory,;san mateo, ca,;;1991.;;;morgan kaufmann. to appear in machine learning.;august;haussler1994a
138;16642;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in proceedings of the fourth workshop on computational learning theory,;;;1991.;pages 61-74,;;;26,haussler1994a;haussler1994a
138;16643;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;in proceedings of the fourth workshop on computational learning theory,;;;1991.;;;;;haussler1994a
138;16644;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;proceedings of the fourth annual workshop on computational learning theory,;san mateo, ca, 1991.;morgan kaufmann.;;pages 61-74,;in m. k. warmuth and l. g. valiant, editors,;;;haussler1994a
138;16679;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning,;;;;;;to appear.;;haussler1994a
138;16680;d. haussler, m. kearns, and r. schapire.;14;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning,;;;1994.;84-114,;;;;haussler1994a
138;16683;d. haussler, m. kearns, and r. schapire.;14(1);bounds on the sample complexity of bayesian learning using information thjeory and the vc dimension.;;machine learning,;;;1994.;83-113,;;;;haussler1994a
138;16686;d. haussler, m. kearns, and r. schapire.;14;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning,;;;1994.;84-114,;;;;haussler1994a
138;16688;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning.;;;;;;to appear.;;haussler1994a
138;16689;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;machine learning,;;;;;;to appear.;;haussler1994a
138;16628;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc dimension.;;proceedings of the fourth annual workshop on computational learning theory, pages 61--74,;san mateo, ca, august 1991.;morgan kaufmann, inc.;;;in m. k. warmuth and l. g. valiant, editors,;;;haussler1994a
138;16638;d. haussler, m. kearns, and r. schapire.;;bounds on the sample complexity of bayesian learning using information theory and the vc-dimension.;;the 1991 workshop on computational learning theory,;;;1991.;pages 61-74,;;;6,haussler1994a;haussler1994a
138;16639;d. haussler, m. kearns, and r. schapire.;;unifying bounds on the sample complexity of bayesian learning theory using information theory and the vc dimension.;;in proceedings of the 4th annual workshop on computational learning theory,;san mateo, ca, 1991.;morgan kaufmann.;;pages 61-74,;;;;haussler1994a
109;16654;d. haussler, m. kearns, h. s. seung, and n. tishby.;;rigorous learning curve bounds from statistical mechanics.;;proceedings of the seventh annual acm conference on computational learning theory,;new york 1994.;acm.;;pages 76-87,;in m. k. warmuth, editor,;;;haussler1994
109;16660;d. haussler, m. kearns, h. s. seung, and n. tishby.;;rigorous learning curve bounds from statistical mechanics.;;in proceedings of the seventh annual acm workshop on computational learning theory,;;;1994.;;;;;haussler1994
109;16661;d. haussler, m. kearns, h. s. seung, and n. tishby.;;rigorous learning curve bounds from statistical mechanics.;;in proceedings of the seventh annual acm conference on computational learning theory,;new york 1994.;acm.;;pages 76-87,;;;;haussler1994
109;16664;d. haussler, m. kearns, h. s. seung, and n. tishby.;;rigorous learning curve bounds from statistical mechanics.;;in proc. 7th annual workshop on comput. learning theory,;san mateo, ca,;morgan kaufmann,;1994.;pages 76-87.;;;;haussler1994
109;16665;d. haussler, m. kearns, h. s. seung, and n. tishby.;;rigorous learning curve bounds from statistical mechanics.;;in proceedings of the 7th annual acm workshop on computational learning theory,;san mateo, ca,;morgan kauffman,;1994.;pages 76-87.;;;;haussler1994
109;16672;d. haussler, m. kearns, h. s. seung, and n. tishby.;;rigorous learning curve bounds from statistical mechanics.;;in proceedings of the seventh annual workshop on computational learning theory (colt-94),;;;1994.;pages 76-87,;;;;haussler1994
109;16671;d. haussler, m. kearns, h. s. seung, n. tishby,;76 - 87.;rigorous learning curve bounds from statistical mechanics,;;proc. of the 7th annual acm conference on computational learning theory 1994, acm-press (1994),;;;;;;;;haussler1994
109;16669;d. haussler, m. kearns, h.s. seung and n. tishby,;;rigorous learning curve bounds from statistical mechanics;;in proceedings of the seventh workshop on computational learning theory;;acm press,;1994.;;;;;haussler1994
109;16668;d. haussler, m. kearns, h.s. seung, and n. tishby,;;rigorous learning curve bounds from statistical mechanics;;in proceedings of the seventh acm conference on computational learning theory,;;morgan kaufmann.;1994;pp. 76-87,;m. warmuth, ed.;;;haussler1994
109;16662;d. haussler, m. kearns, h.s. seung, and n. tishby.;;rigourous learning curve bounds from statistical mechanics.;;in proceedings of the seventh annual acm confernce on computational learning theory,;;;1994.;pages 76-87,;;;;haussler1994
109;16663;d. haussler, m. kearns, h.s. seung, and n. tishby.;;rigourous learning curve bounds from statistical mechanics.;;in proceedings of the seventh annual acm confernce on computational learning theory,;;;1994.;pages 76-87,;;;;haussler1994
109;16690;d. haussler, m. kearns, h.s. seung, and n. tishby.;25;rigourous learning curve bounds from statistical mechanics.;;machine learning,;;;1996.;195-236,;;;;haussler1996
109;16692;d. haussler, m. kearns, h.s. seung, and n. tishby.;25;rigorous learning curve bounds from statistical mechanics.;;machine learning,;;;1996.;195-236,;;;;haussler1996
119;16602;d. haussler, m. kearns, n. littlestone, and m. k. war-muth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16615;d. haussler, m. kearns, n. littlestone, and m. k. war-muth.;;equivalence of models for polynomial learnabil-ity. information and computation,;;;95:129161,;;1991.;;;;;haussler1991
119;16601;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equivalence of models for polynomial learnability.;;information and computation,;;;1991.;129-161,;;;december;haussler1991
119;16603;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16604;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16607;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95;equivalence of models for polynomial learnability.;;information and computation,;;;1991.;129-161,;;;;haussler1991
119;16608;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16612;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95;equivalence of models for polynomial learnability.;;information and computation,;;;1991.;129-161,;;;;haussler1991
119;16613;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16619;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equiva lence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16620;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16621;d. haussler, m. kearns, n. littlestone, and m. k. warmuth.;95(2);equivalence of models for polynomial learnability.;;information and computation,;;;1991.;129-161,;;;december;haussler1991
119;16616;d. haussler, m. kearns, n. littlestone, and m. warmuth.;95;equivalence of models for polynomial learnability.;;information and computation,;;;1991.;129-161,;;;;haussler1991
119;16622;d. haussler, m. kearns, n. littlestone, and m. warmuth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;december;haussler1991
119;16623;d. haussler, m. kearns, n. littlestone, and m. warmuth.;95(2);equivalence of models for polynomial learnability.;;inform. comput.,;;;1991.;129-161,;;;41,haussler1991;haussler1991
119;16595;d. haussler, m. kearns, n. littlestone, m. warmuth.;;equivalence of models for polynomial learnability.;and university of california at santa cruz information sciences department,;technical report number ucsc-crl-88-06,;;morgan kaufmann publishers,;1988.;pp. 42-55,;;;;haussler1988
119;16597;d. haussler, m. kearns, n. littlestone, m. warmuth.;;equivalence of models for polynomial learnability.;and university of california at santa cruz information sciences department,;technical report number ucsc-crl-88-06,;;morgan kaufmann publishers,;1988.;pp. 42-55,;;;;haussler1988
119;16599;d. haussler, m. kearns, n. littlestone, m. warmuth.;;equivalence of models for polynomial learnability.;and university of california at santa cruz information sciences department,;technical report number ucsc-crl-88-06,;;morgan kaufmann publishers,;1988.;pp. 42-55,;;;;haussler1988
137;16684;d. haussler, m. kearns, r. 14, 83, schapire,;;machine learning,;;;(1994).;;;;;haussler1994a;;haussler1994a
167;16670;d. haussler, m. kearns, s. seung, n tishby,;;rigorous learning curve bounds from statistical mechanics;;proceedings of colt 1994,;;;;pp. 76-85.;;;;haussler1994
171;16710;d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,;;on-line portfolio selection using multiplicative upyears,;;in proc. 13th international conference on machine learning,;san francisco:;morgan kaufmann,;1996;pp. 243-251. 35;;;;helmbold1996
170;16718;d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,;vol. 27,;a comparison of new and old algorithms for a mixture estimation problem,;;machine learning,;;;1997.;pp. 97-119,;;;;helmbold1997c
170;16703;d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.;;a comparison of new and old algorithms for a mixture estimation problem.;university of california, santa cruz, computer research laboratory,;technical report ucsc-crl-95-50,;;;1995.;;;an extended abstract appeared in colt 95.;october,helmbold1995a;helmbold1995a
171;16704;d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.;;on-line portfolio selection using multiplicative upyears.;;in proc. 13th international conference on machine learning,;san francisco,;morgan kaufmann,;1996.;pages 243-251.;;;;helmbold1996
171;16712;d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.;;on-line portfolio selection using multiplicative upyears.;;in proc. 13th international conference on machine learning,;san fran-cisco,;morgan kaufmann,;1996.;pages 243251.;;;july;helmbold1996
170;16719;d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.;;a comparison of new and old algorithms for a mixture estimation problem.;;machine learning,;;;1997.;;;to appear.;;helmbold1997c
171;16705;d. helmbold, r. schapire, y. singer, and m. war muth.;;on-line portfolio selection using multiplicative upyears.;;in machine learning: proceedings of the 13th international conference.;;;1996.;;;;;helmbold1996
171;16706;d. helmbold, r. schapire, y. singer, and m. war-muth.;;on-line portfolio selection using multiplicative upyears.;;in machine learning: proceedings of the 13th international conference.;;;1996.;;;;;helmbold1996
177;17181;d. lewis, r. e. shapire, j. p. callan, and r. papka.;;training algorithms for linear text classifiers.;;in proceedings of the nineteenth annual international acm sigir conference on research and development in information retrieval,;;;1996.;pages 298-306,;;;;lewis1996
177;17174;d. lewis, r. schapire, j. callan, and r. papka,;;training algorithms for linear text classifiers,;;proceeding of sigir,;;;1996.;298-306,;;;;lewis1996
177;17176;d. lewis, r. schapire, j. callan, and r. papka,;;training algorithms for linear text classifiers,;;proceedings of sigir,;;;1996.;298-306,;;;11;lewis1996
177;17180;d. lewis, r. schapire, j. callan, and r. papka,;;training algorithms for linear text classifiers;;proceedings of sigir 1996,;;;;pp. 298-306.;;;;lewis1996
177;17175;d. lewis, r. schapire, j. callan, and r. papka.;;training algorithms for linear text classifiers.;;in proceedings of sigir 96,;;;1996.;pages 298-306,;;;;lewis1996
177;17178;d. lewis, r. schapire, j. callan, and r. papka.;;training algorithms for linear text classifiers.;;in sigir-96,;;;1996.;pages 298-306,;;;;lewis1996
184;16697;d. p. helmbold and r. e. schapire.;;predicting nearly as well as the best pruning of a decision tree.;;in proc. 6th annu. conf. on comput. learning theory,;new york, ny,;acm press,;1995.;pages 61-68.;;;july;helmbold1995
